Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
8/7/21,17:15 (12:15),Community Shield,FA Community Shield,Sat,Neutral,L,0,1,Leicester City,,,57,,Fernandinho,4/3/03,Paul Tierney,Match Report,
8/15/21,16:30 (11:30),Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,2,1,65,58262,Fernandinho,4/3/03,Anthony Taylor,Match Report,
8/21/21,15:00 (10:00),Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.7,0.1,67,51437,İlkay Gündoğan,4/3/03,Graham Scott,Match Report,
8/28/21,12:30 (07:30),Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,4,0.2,80,52276,İlkay Gündoğan,4/3/03,Martin Atkinson,Match Report,
9/11/21,15:00 (10:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,3.3,0.6,61,32087,İlkay Gündoğan,4/3/03,Paul Tierney,Match Report,
9/15/21,20:00 (15:00),Champions Lg,Group stage,Wed,Home,W,6,3,de RB Leipzig,2.3,1.3,50,38062,Rúben Dias,4/3/03,Serdar Gözübüyük,Match Report,
9/18/21,15:00 (10:00),Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,1.2,0.5,64,52698,Fernandinho,4/3/03,Jonathan Moss,Match Report,
9/21/21,19:45 (14:45),EFL Cup,Third round,Tue,Home,W,6,1,Wycombe,,,79,30959,Kevin De Bruyne,4/3/03,Robert Jones,Match Report,
9/25/21,12:30 (07:30),Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.4,0.2,59,40036,Rúben Dias,4/3/03,Michael Oliver,Match Report,
9/28/21,21:00 (15:00),Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,1.9,0.4,54,37350,Rúben Dias,4/3/03,Carlos del Cerro,Match Report,
10/3/21,16:30 (11:30),Premier League,Matchweek 7,Sun,Away,D,2,2,Liverpool,1.7,0.8,51,53102,Rúben Dias,4/3/03,Paul Tierney,Match Report,
10/16/21,15:00 (10:00),Premier League,Matchweek 8,Sat,Home,W,2,0,Burnley,2.2,0.8,70,52711,Kevin De Bruyne,4/3/03,Martin Atkinson,Match Report,
10/19/21,18:45 (12:45),Champions Lg,Group stage,Tue,Away,W,5,1,be Club Brugge,4.7,0.6,63,24915,Rúben Dias,4/3/03,István Kovács,Match Report,
10/23/21,17:30 (12:30),Premier League,Matchweek 9,Sat,Away,W,4,1,Brighton,4,1.4,52,31215,İlkay Gündoğan,4/3/03,Kevin Friend,Match Report,
10/27/21,19:45 (14:45),EFL Cup,Fourth round,Wed,Away,D,0 (3),0 (5),West Ham,,,64,60000,Fernandinho,4/3/03,Jonathan Moss,Match Report,West Ham won on penalty kicks following extra time
10/30/21,15:00 (10:00),Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,1.1,0.8,68,53014,Rúben Dias,4/3/03,Andre Marriner,Match Report,
11/3/21,20:00 (16:00),Champions Lg,Group stage,Wed,Home,W,4,1,be Club Brugge,4.6,0.8,70,50228,İlkay Gündoğan,4/3/03,Antonio Matéu Lahoz,Match Report,
11/6/21,12:30 (08:30),Premier League,Matchweek 11,Sat,Away,W,2,0,Manchester Utd,2.3,0.8,67,73086,İlkay Gündoğan,4/3/03,Michael Oliver,Match Report,
11/21/21,14:00 (09:00),Premier League,Matchweek 12,Sun,Home,W,3,0,Everton,2.6,0.2,77,52571,İlkay Gündoğan,4/3/03,Stuart Attwell,Match Report,
11/24/21,20:00 (15:00),Champions Lg,Group stage,Wed,Home,W,2,1,fr Paris S-G,2.1,1,54,52030,İlkay Gündoğan,4/3/03,Daniele Orsato,Match Report,
11/28/21,14:00 (09:00),Premier League,Matchweek 13,Sun,Home,W,2,1,West Ham,2.4,0.2,68,53245,İlkay Gündoğan,4/3/03,Michael Oliver,Match Report,
