Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
8/7/21,17:15 (12:15),Community Shield,FA Community Shield,Sat,Neutral,L,0,1,Leicester City,0,12,3,25,0,0,,,0,0,,,,,,Match Report
8/15/21,16:30 (11:30),Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,0,18,4,22.2,0,0,17.3,1,0,0,2,2,0.11,-2,-2,Match Report
8/21/21,15:00 (10:00),Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,4,16,4,25,0.25,1,18.5,1,0,0,2.7,2.7,0.17,1.3,1.3,Match Report
8/28/21,12:30 (07:30),Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,5,25,10,40,0.2,0.5,14.8,0,0,0,4,4,0.16,1,1,Match Report
9/11/21,15:00 (10:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,1,25,8,32,0.04,0.13,14.3,0,0,0,3.3,3.3,0.14,-2.3,-2.3,Match Report
9/15/21,20:00 (15:00),Champions Lg,Group stage,Wed,Home,W,6,3,de RB Leipzig,5,15,7,46.7,0.27,0.57,16.8,0,1,1,2.3,1.6,0.11,2.7,2.4,Match Report
9/18/21,15:00 (10:00),Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,0,16,1,6.3,0,0,16.4,1,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report
9/21/21,19:45 (14:45),EFL Cup,Third round,Tue,Home,W,6,1,Wycombe,6,26,14,53.8,0.23,0.43,,,0,0,,,,,,Match Report
9/25/21,12:30 (07:30),Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1,15,3,20,0.07,0.33,17.1,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Match Report
9/28/21,21:00 (15:00),Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,0,18,7,38.9,0,0,15.9,2,0,0,1.9,1.9,0.16,-1.9,-1.9,Match Report
10/3/21,16:30 (11:30),Premier League,Matchweek 7,Sun,Away,D,2,2,Liverpool,2,12,3,25,0.17,0.67,17,1,0,0,1.7,1.7,0.14,0.3,0.3,Match Report
10/16/21,15:00 (10:00),Premier League,Matchweek 8,Sat,Home,W,2,0,Burnley,2,15,6,40,0.13,0.33,14.4,0,0,0,2.2,2.2,0.15,-0.2,-0.2,Match Report
10/19/21,18:45 (12:45),Champions Lg,Group stage,Tue,Away,W,5,1,be Club Brugge,5,21,8,38.1,0.19,0.5,16.1,1,1,1,4.7,4,0.19,0.3,0,Match Report
10/23/21,17:30 (12:30),Premier League,Matchweek 9,Sat,Away,W,4,1,Brighton,4,23,12,52.2,0.17,0.33,16,1,0,0,4,4,0.2,0,0,Match Report
10/27/21,19:45 (14:45),EFL Cup,Fourth round,Wed,Away,D,0 (3),0 (5),West Ham,0,25,7,28,0,0,,,0,0,,,,,,Match Report
10/30/21,15:00 (10:00),Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,0,14,3,21.4,0,0,17.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report
